CaseID,Activity,Duration,Timestamp,Duration Float,Time to conclusion,Passed Time,Step,Prefix,Activity Cat
5471565/2021,cexatáguafria-arquivado,0 days 00:00:18.920000,2021-09-10 15:08:33.355,0.0002,-0.0,92.9268,8,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-providenciado,cexatáguafria-arquivado",86
5471603/2021,cexatáguafria-protocolizado,0 days 00:00:00,2021-06-09 16:55:50.370,0.0,12.6081,-0.0,1,cexatáguafria-protocolizado,92
5471603/2021,cexatáguafria-aguardandodistribuição,0 days 00:00:00.005000,2021-06-09 16:55:50.375,0.0,12.6081,0.0002,2,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição",82
5471603/2021,cexatáguafria-distribuído,0 days 04:47:24.925000,2021-06-09 21:43:15.300,0.1996,12.4085,10.8804,3,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído",87
5471603/2021,cexatáguafria-aguardandoanálisedoprocesso,0 days 10:07:04.954000,2021-06-10 07:50:20.254,0.4216,11.9869,10.8805,4,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso",78
5471603/2021,cexatáguafria-redirecionado,1 days 02:33:17.078000,2021-06-11 10:23:30.363,1.1064,10.8805,11.9869,5,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado",94
5471603/2021,cexatáguafria-aguardandoanálisedoprocesso,0 days 00:00:10.115000,2021-06-11 10:23:47.447,0.0001,10.8804,12.4085,6,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso",78
5471603/2021,cexatáguafria-providenciado,10 days 21:07:25.540000,2021-06-22 07:31:12.987,10.8802,0.0002,12.6081,7,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-providenciado",93
5471603/2021,cexatáguafria-arquivado,0 days 00:00:17.264000,2021-06-22 07:31:30.251,0.0002,-0.0,12.6081,8,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-providenciado,cexatáguafria-arquivado",86
5480157/2021,cexataguafria-protocolizado,0 days 00:00:00,2021-06-10 02:03:01.971,0.0,26.3964,0.0,1,cexataguafria-protocolizado,13
5480157/2021,cexataguafria-aguardandodistribuição,0 days 00:00:00.005000,2021-06-10 02:03:01.976,0.0,26.3964,0.0005,2,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição",7
5480157/2021,cexataguafria-distribuído,0 days 05:22:43.238000,2021-06-10 07:25:45.214,0.2241,26.1723,24.4456,3,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído",11
5480157/2021,cexataguafria-aguardandoanálisedoprocesso,0 days 00:00:10.204000,2021-06-10 07:25:55.418,0.0001,26.1722,24.4459,4,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso",3
5480157/2021,cexataguafria-processoanalisado,1 days 17:25:55.342000,2021-06-12 00:51:50.760,1.7263,24.4459,26.1722,5,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso,cexataguafria-processoanalisado",12
5480157/2021,cexataguafria-aguardandociênciadosolicitante,0 days 00:00:28.645000,2021-06-12 00:52:19.405,0.0003,24.4456,26.1723,6,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso,cexataguafria-processoanalisado,cexataguafria-aguardandociênciadosolicitante",6
5480157/2021,cexataguafria-solicitanteciente,24 days 10:40:54.883000,2021-07-06 11:33:14.288,24.4451,0.0005,26.3964,7,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso,cexataguafria-processoanalisado,cexataguafria-aguardandociênciadosolicitante,cexataguafria-solicitanteciente",17
5480157/2021,cexataguafria-arquivado,0 days 00:00:44.296000,2021-07-06 11:33:58.584,0.0005,0.0,26.3964,8,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso,cexataguafria-processoanalisado,cexataguafria-aguardandociênciadosolicitante,cexataguafria-solicitanteciente,cexataguafria-arquivado",10
5499290/2021,nuataquiraz-protocolizado,0 days 00:00:00,2021-06-10 11:01:27.763,0.0,18.2212,0.0,1,nuataquiraz-protocolizado,143
5499290/2021,nuataquiraz-aguardandodistribuição,0 days 00:00:00.008000,2021-06-10 11:01:27.771,0.0,18.2212,0.0002,2,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição",136
5499290/2021,nuataquiraz-distribuído,1 days 07:28:43.496000,2021-06-10 13:55:02.170,1.3116,16.9096,14.0692,3,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição,nuataquiraz-distribuído",141
5499290/2021,nuataquiraz-aguardandociênciadosolicitante,2 days 20:10:11.774000,2021-06-14 14:40:23.041,2.8404,14.0692,16.9096,4,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição,nuataquiraz-distribuído,nuataquiraz-aguardandociênciadosolicitante",135
5499290/2021,nuataquiraz-solicitantenãociente,14 days 01:39:19.271000,2021-06-28 16:19:42.312,14.069,0.0002,18.2212,5,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição,nuataquiraz-distribuído,nuataquiraz-aguardandociênciadosolicitante,nuataquiraz-solicitantenãociente",147
5499290/2021,nuataquiraz-arquivado,0 days 00:00:13.810000,2021-06-28 16:19:56.122,0.0002,0.0,18.2212,6,"nuataquiraz-protocolizado,nuataquiraz-aguardandodistribuição,nuataquiraz-distribuído,nuataquiraz-aguardandociênciadosolicitante,nuataquiraz-solicitantenãociente,nuataquiraz-arquivado",140
5523425/2021,cexatcaucaia-protocolizado,0 days 00:00:00,2021-06-10 16:57:21.309,0.0,91.6648,0.0,1,cexatcaucaia-protocolizado,22
5523425/2021,cexatcaucaia-aguardandodistribuição,0 days 00:00:00.006000,2021-06-10 16:57:21.315,0.0,91.6648,0.0002,2,"cexatcaucaia-protocolizado,cexatcaucaia-aguardandodistribuição",20
